annotated_512_id,run,pattern,k_top1_identity,k_top1_score,k_top2_identity,k_top2_score,k_robust_separation,k_support_impression_count,k_support_pass,k_margin_pass,k_winner_leave_one_out_stable,k_global_position_drop_change_count,o_top1_identity,o_top1_score,o_top2_identity,o_top2_score,o_robust_separation,o_support_impression_count,o_support_pass,o_margin_pass,o_winner_leave_one_out_stable,o_global_position_drop_change_count,channels_agree,global_assignment_identity,assignment_agrees_with_local,one_to_one_collision,status,frozen_final_identity
R1/10_right_loop,R1,right_loop,1,0.1724286526441574,65,0.07103553414344788,9.333391618602262,1,false,true,true,0,10,0.260649710893631,56,0.19028306007385254,2.0443532740404304,1,false,false,false,1,false,1,false,false,AMBIGUOUS,
R1/10_whorl,R1,whorl,2,0.6769636273384094,102,0.05217031016945839,62.04945705692038,9,true,true,true,0,117,0.18294690549373627,27,0.16180235147476196,0.7389036763558823,0,false,false,false,2,false,2,false,false,AMBIGUOUS,
R1/11_right_loop,R1,right_loop,3,0.42038097977638245,130,0.07652751356363297,34.433882970027334,4,true,true,true,0,120,0.2066333293914795,139,0.1734684705734253,1.1592985643944769,1,false,false,false,1,false,3,false,false,AMBIGUOUS,
R1/11_whorl,R1,whorl,4,0.5984745025634766,78,0.06993794441223145,55.470024396813,7,true,true,true,0,75,0.17080281674861908,25,0.163604736328125,0.2528733347728859,0,false,false,false,2,false,4,false,false,AMBIGUOUS,
R1/12_right_loop,R1,right_loop,5,0.4303741753101349,104,0.037742894142866135,42.99850440435976,9,true,true,true,0,101,0.19324977695941925,142,0.13444383442401886,2.274563361943733,0,false,false,true,0,false,5,false,false,AMBIGUOUS,
R1/12_whorl,R1,whorl,6,0.6380035281181335,105,0.0706150010228157,59.519752147961405,8,true,true,true,0,4,0.18013866245746613,87,0.14530204236507416,1.1902679501874551,0,false,false,false,1,false,6,false,false,AMBIGUOUS,
R1/13_right_loop,R1,right_loop,7,0.06186264753341675,27,0.04489264264702797,1.6879621141744254,1,false,false,false,2,48,0.18134935200214386,101,0.14806286990642548,1.3318445476900358,0,false,false,false,1,false,7,false,false,AMBIGUOUS,
R1/13_whorl,R1,whorl,8,0.24012170732021332,77,0.05891400948166847,18.73648363279057,4,true,true,true,0,16,0.19364500045776367,111,0.17274342477321625,0.6446227828482489,0,false,false,false,2,false,8,false,false,AMBIGUOUS,
R1/14_right_loop,R1,right_loop,9,0.3697284758090973,100,0.06108515337109566,35.67407296128928,1,false,true,true,0,106,0.11400533467531204,104,0.11222628504037857,0.09551665332873789,0,false,false,false,3,false,9,false,false,AMBIGUOUS,
R1/14_whorl,R1,whorl,10,0.10379747301340103,80,0.06621154397726059,3.556288295374774,0,false,true,false,0,8,0.1902214139699936,137,0.17237067222595215,0.6784835533156904,0,false,false,false,2,false,10,false,false,AMBIGUOUS,
R1/15_right_loop,R1,right_loop,143,0.08654996752738953,11,0.0752386674284935,1.2377885966807731,0,false,false,false,2,8,0.08761366456747055,50,0.08512455224990845,0.16618642818562482,0,false,false,false,3,false,80,false,false,AMBIGUOUS,
R1/15_whorl,R1,whorl,12,0.8979224562644958,97,0.05169512331485748,80.78653445274082,10,true,true,true,0,148,0.20350360870361328,33,0.18421967327594757,0.661921645280406,0,false,false,false,1,false,12,false,false,AMBIGUOUS,
R1/16_right_loop,R1,right_loop,13,0.9198305010795593,132,0.0733109563589096,78.16865551937622,10,true,true,true,0,27,0.19951479136943817,101,0.18199151754379272,0.6380924252658292,1,false,false,false,3,false,13,false,false,AMBIGUOUS,
R1/16_whorl,R1,whorl,14,0.44730767607688904,16,0.045455943793058395,43.42504167204474,5,true,true,true,0,115,0.18126052618026733,66,0.1507624238729477,1.4141124792368585,1,false,false,false,1,false,14,false,false,AMBIGUOUS,
R1/17_right_loop,R1,right_loop,15,0.16181184351444244,9,0.05590897426009178,12.930339083886931,1,false,true,true,0,123,0.11375065892934799,28,0.10735762864351273,0.2855074346199544,0,false,false,false,3,false,15,false,false,AMBIGUOUS,
R1/17_whorl,R1,whorl,16,0.3056623339653015,46,0.057243410497903824,21.967963524320034,3,true,true,true,0,113,0.16329754889011383,87,0.1624835878610611,0.03211363491126212,0,false,false,false,3,false,16,false,false,AMBIGUOUS,
R1/18_right_loop,R1,right_loop,11,0.0393964983522892,110,0.03898844122886658,0.046612163076551645,0,false,false,false,2,46,0.12564675509929657,13,0.11950121074914932,0.2988359100866864,0,false,false,false,2,false,29,false,false,AMBIGUOUS,
R1/18_whorl,R1,whorl,18,0.551740288734436,95,0.0744156464934349,48.01120169128057,6,true,true,true,0,12,0.15974915027618408,4,0.14452816545963287,0.6238258245092012,0,false,false,false,2,false,18,false,false,AMBIGUOUS,
R1/19_right_loop,R1,right_loop,19,0.052091147750616074,86,0.04287421330809593,0.9614706633865844,0,false,false,true,0,113,0.1304967999458313,27,0.10203006118535995,1.571435180304343,0,false,false,false,2,false,19,false,false,AMBIGUOUS,
R1/19_whorl,R1,whorl,20,2.769860029220581,146,0.110098697245121,234.97647012918716,10,true,true,true,0,70,0.17391236126422882,137,0.17327554523944855,0.02352045912937227,0,false,false,false,3,false,20,false,false,AMBIGUOUS,
R1/1_left_loop,R1,left_loop,21,0.27547353506088257,82,0.061965156346559525,20.898578283594233,4,true,true,true,0,114,0.14294834434986115,79,0.12223479151725769,0.8910434446295619,0,false,false,false,1,false,21,false,false,AMBIGUOUS,
