sample_index,subject_id,anatomical_position,finger_name,impression,source_500,source_1000,source_2000,sha256_500,sha256_1000,sha256_2000,exact_2x_dimensions,low_shape_hw,high_shape_hw,pearson_all_pixels,pearson_dark_union,mae_all_pixels,mae_dark_union,dark_union_pixel_fraction,control_500_1000_pearson_all_pixels,control_500_1000_pearson_dark_union
10,00001668,5,right_little,roll,sd300a/images/500/png/roll/00001668_roll_500_05.png,sd300b/images/1000/png/roll/00001668_roll_1000_05.png,sd300c/images/2000/png/roll/00001668_roll_2000_05.png,c6bc40c19e6770a3141c9a2f4b595f514669522fbaea7881878c6e8a6d656e2e,66743be7588817016533cb434c437d1a7692712c69c17eb8fe88599db33b7cc8,481a4e5e3a5827f706a64f2d264668b1e5eff3965ba53947e1240befe819f22c,True,"[1700, 1672]","[3400, 3344]",0.9815498500945449,0.9304936785534381,4.806735038757324,9.337274551391602,0.35603187447227697,0.9928706187611603,0.9698968618899796
11,00001595,6,left_thumb,plain,sd300a/images/500/png/plain/00001595_plain_500_12.png,sd300b/images/1000/png/plain/00001595_plain_1000_12.png,sd300c/images/2000/png/plain/00001595_plain_2000_12.png,d7accd8ee263ef649813a5e55785ac6d309457d69126b6b74088686365d035f4,2c0b180854e46c5603e58da0b608115540a5473525ed08789293a0e599f9b354,be244b1680b4bc7bf79609bcaec76c7f4a17a8aed98b156ec4b5b6e7deb3f50f,True,"[1972, 748]","[3944, 1496]",0.9627083043254855,0.9491146560239038,6.9525556564331055,8.031576156616211,0.8117400288531419,0.9941851082591526,0.9917386863662607
11,00001595,6,left_thumb,roll,sd300a/images/500/png/roll/00001595_roll_500_06.png,sd300b/images/1000/png/roll/00001595_roll_1000_06.png,sd300c/images/2000/png/roll/00001595_roll_2000_06.png,3a44609479ae5c2e12eb7fe206e96530569143c5a673b9c39f7945930e80d91a,c6b97648a66a089407ea0bea6b5d1446baced4ccaa3bba47d59d9c81b29f9e00,ffe045ca5a895d2254400a2054f286ef7b7c7a9d5281bb1aa61404e8abfd9bc9,True,"[1416, 1618]","[2832, 3236]",0.95492129730669,0.9487355199194312,6.6013569831848145,7.103487014770508,0.9046828406416515,0.9940228490114194,0.9928090935689264
12,00001159,6,left_thumb,plain,sd300a/images/500/png/plain/00001159_plain_500_12.png,sd300b/images/1000/png/plain/00001159_plain_1000_12.png,sd300c/images/2000/png/plain/00001159_plain_2000_12.png,17be1dcdffdf8d5931d0355171699d8dc1a1c32fc1ab19a8726b6c10cf7ce9e4,0d235a85229e84d14c89dd0a29cc08130baf4b0803e1fc69bdebdaf94baa299a,13cd9e2e39971de63c2cb3ddceb36dab071fcbd24d53bb44cad1a4a5e3f96d48,True,"[1862, 734]","[3724, 1468]",0.8292034107485682,0.8292005756438597,17.6370849609375,17.637256622314453,0.9999839029258627,0.9805540972386694,0.9803403357171327
12,00001159,6,left_thumb,roll,sd300a/images/500/png/roll/00001159_roll_500_06.png,sd300b/images/1000/png/roll/00001159_roll_1000_06.png,sd300c/images/2000/png/roll/00001159_roll_2000_06.png,dab744ec6f561da6a2f9f6990357ba8d1ef9852e6bb4696e9897344c59935dd7,396c594f1f2c0fdd93992885748f83a5f60959b0883dc1f0987d8fb1ec94ba89,b47cdd3f9f1b7b414fea07f532e377381ba7f61996354bdb208af58e58c6fe4b,True,"[1402, 1646]","[2804, 3292]",0.8646991316955752,0.8646875346435023,16.670364379882812,16.671262741088867,0.9999410666588089,0.9895504603090887,0.9895441180708786
13,00001741,7,left_index,plain,sd300a/images/500/png/plain/00001741_plain_500_07.png,sd300b/images/1000/png/plain/00001741_plain_1000_07.png,sd300c/images/2000/png/plain/00001741_plain_2000_07.png,c962dc3c3610118938c466bfc383b14bb91ef1fc36c221a803ee5fda8a3cc69b,c1623b71c7c2c75a600ec86687c697efa4c2a4ee76988e55aee9a8d8f79f5f2d,433d7794aba28e3fb9db42b716357584b8c1551e31750eadb032c53f1752110c,False,"[1015, 664]","[2031, 1328]",0.96500589698208,0.9565246426391509,6.9760518074035645,7.252391338348389,0.9297198646803965,0.9955381491574228,0.9946730906187087
13,00001741,7,left_index,roll,sd300a/images/500/png/roll/00001741_roll_500_07.png,sd300b/images/1000/png/roll/00001741_roll_1000_07.png,sd300c/images/2000/png/roll/00001741_roll_2000_07.png,3ac4713c4d4591adb3552595774b71e75eca8ea9f9f81097282436436332be8f,57ad1b65ade88845c7cad3a8b28f8edd3c6230d127697136037e7a357b6a355d,46bd808079ad8af210ce4a8ade064622ec52b9148e83fb191cec05da22ec080f,True,"[1496, 1510]","[2992, 3020]",0.9788023346909723,0.9785178180432553,5.011472225189209,5.044407367706299,0.9897103091688211,0.994420066784643,0.9942894577673882
14,00001411,7,left_index,plain,sd300a/images/500/png/plain/00001411_plain_500_07.png,sd300b/images/1000/png/plain/00001411_plain_1000_07.png,sd300c/images/2000/png/plain/00001411_plain_2000_07.png,584bbc3b5b94e8e21f268e7aa257dc81425e7bad008e223203ff5701c2cdc4fc,d76a3afe74a0fac5c0f5dd570adf7b07d20e0962db6ec529f6637f6b56b151cb,3e98be3212773d13f8ad3b968ee6743910770431a655efcc32de993b725e90d6,False,"[958, 707]","[1915, 1411]",0.9096333171539895,0.9090579614338532,9.887201309204102,9.859820365905762,0.9972036273117321,0.9862312396748961,0.9866433919635327
14,00001411,7,left_index,roll,sd300a/images/500/png/roll/00001411_roll_500_07.png,sd300b/images/1000/png/roll/00001411_roll_1000_07.png,sd300c/images/2000/png/roll/00001411_roll_2000_07.png,ba3e5793eaf2d119b5f658fb5660b74e75ddc05a4d15ce8b86cea512ad1f9ed1,a47bce6f44dcd1f1770a3f375860cda8363f7c36861efb3b0c824baef4af09ea,f1427b58a253caad02d58ddd4a574cf392b1bc7d937396ec9def68fbd5108cd6,True,"[1428, 1510]","[2856, 3020]",0.9553223888302024,0.9553077951479976,7.105064868927002,7.1067280769348145,0.999697627395329,0.9931347611818427,0.9931290339279417
15,00001234,8,left_middle,plain,sd300a/images/500/png/plain/00001234_plain_500_08.png,sd300b/images/1000/png/plain/00001234_plain_1000_08.png,sd300c/images/2000/png/plain/00001234_plain_2000_08.png,6824fe36c02b64aff785862545c0b8bb7c2176ece3d6477892f2a6536934eafd,c7f3924534b31d60ff2862602d5f8029f823f8edb80d668260dabbf93257fa2d,0e99018aaebe717dd1c8085d6dffc18c80bb7e0f2fdb5086ff80d20c55251a8d,True,"[512, 512]","[1024, 1024]",0.8662329913811166,0.8036030420318508,10.974647521972656,11.262683868408203,0.9719276428222656,0.9842284903941056,0.9811727076109419
