sample_index,seed,impression,registration_status,frozen_pair,status,repeatability,matched,plain_in_overlap,roll_in_overlap,mean_match_distance
14,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
19,40402,plain,VALID,OK,OK,0.03529411764705882,6,48,292,3.3346640269598793
19,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40402,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40402,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
1,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
1,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
2,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
3,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
4,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
5,40403,plain,VALID,PREPROCESSING_FAILURE,OK,0.7976119402985075,668,862,813,0.6313180016810032
5,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
6,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
7,40403,plain,VALID,OK,OK,0.8306364617044228,770,938,916,0.6375032670960272
7,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
8,40403,roll,VALID,OK,OK,0.04211208292840946,65,503,2584,2.5383474774362824
9,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
9,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
10,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
11,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
12,40403,plain,VALID,OK,OK,0.7971745711402624,1185,1491,1482,0.6801146316432612
12,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
13,40403,plain,VALID,PREPROCESSING_FAILURE,OK,0.8106007067137809,1147,1325,1505,0.6281406705630477
13,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
14,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
15,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
16,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
17,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
18,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
19,40403,plain,VALID,OK,OK,0.015463917525773196,3,60,328,2.566859022312944
19,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40403,plain,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
20,40403,roll,INVALID,PREPROCESSING_FAILURE,REGISTRATION_INVALID,,,,,
