record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S06-1000,6,00001267,3,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S07-1000,7,00001061,4,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,970,888.962205359434,1440.472831494379,0,,,0,,
S08-1000,8,00001050,4,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,665,712.8462396020924,1094.2575339219836,0,,
S09-1000,9,00001187,5,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S10-1000,10,00001668,5,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S11-1000,11,00001595,6,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S12-1000,12,00001159,6,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1830,724.1972095850468,1400.8689980801205,0,,,0,,
S13-1000,13,00001741,7,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1684,864.1862536910093,1418.2605253627764,0,,,0,,
S14-1000,14,00001411,7,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S15-1000,15,00001234,8,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S16-1000,16,00001711,8,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S17-1000,17,00001036,9,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,640,485.63506649406384,1259.8648401251205
S18-1000,18,00001580,9,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S19-1000,19,00001085,10,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,49,407.433584168295,645.7394375477714,0,,,0,,
S20-1000,20,00001027,10,1000,40402,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S01-1000,1,00001809,1,1000,40403,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
