record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S20-2000,20,00001027,10,2000,40402,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1185,1009.0301814977073,1564.947293631655,3833,911.7559186826946,1317.1599516021895,3540,693.5868491231123,916.8153254228228
S01-2000,1,00001809,1,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1310,422.62931569861433,903.0359932224047,2932,599.9287533451859,1019.657621784227,2446,551.9974363487829,989.6847817554889
S02-2000,2,00001718,1,2000,40403,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,2053,722.6440677011542,1269.3517402731982,3610,678.6040832040038,1464.0629328060004,3793,749.934061953688,1946.4597832568536
S03-2000,3,00001335,2,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1597,1250.0430509504085,2282.514396134161,4431,857.5442996818318,2247.398449898636,4376,833.6429013668619,2259.185815451984
S04-2000,4,00001593,2,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,895,648.7086710967308,1074.4026861267603,3792,849.1815878083322,1242.0256678753926,4151,958.6977046684491,1457.1656145423092
S05-2000,5,00001314,3,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,976,937.8411204895223,1351.4000005538524,4071,775.5393627661094,1279.9709231857096,4064,842.5513300141288,1336.6693055799037
S06-2000,6,00001267,3,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1628,1098.58964842432,1521.0987041696606,4825,863.1592882200672,1787.4494744528088,4872,810.2512078098105,1880.9801327264674
S07-2000,7,00001061,4,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,979,935.181151944489,1466.9391767159743,2330,599.8106863610516,979.2215902810786,2862,688.8225899151752,1876.8542296765936
S08-2000,8,00001050,4,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1041,886.207847664191,1497.7878493579367,3292,810.8234587088401,1348.9022549859599,2651,645.3254073449277,1141.5987205137237
S09-2000,9,00001187,5,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,661,559.8203154642528,1093.3824721361152,2521,464.2165631954157,1719.9245170771244,4025,766.9047723388404,1848.8695024267274
S10-2000,10,00001668,5,2000,40403,OK,OK,INVALID,AMBIGUOUS,REGISTRATION_INVALID,REGISTRATION_AMBIGUOUS,,,,,,,,,,1213,788.5963634850629,1281.728865210307,4495,662.1816077622121,1957.8694373314086,3885,668.6682537999633,1311.6248449092245
S11-2000,11,00001595,6,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,2299,652.4784531691324,1101.5326588382304,5083,767.6326333423794,1327.7555237163572,4559,836.8485008682372,1542.374532788061
S12-2000,12,00001159,6,2000,40403,OK,OK,AMBIGUOUS,AMBIGUOUS,REGISTRATION_AMBIGUOUS,REGISTRATION_AMBIGUOUS,,,,,,,,,,1781,596.2494204060589,1165.2495243478922,2866,644.8181459835884,1126.7100655779852,2466,640.6060039278033,1105.2432722909773
S13-2000,13,00001741,7,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1783,914.9905524531291,1487.4720316882433,4002,775.6412219392116,1409.7501022438698,3873,770.1797841826191,1333.7672467676032
S14-2000,14,00001411,7,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1721,972.2614541551325,1480.711601947553,4322,917.2808755639091,1826.2046422443134,4384,898.9807313815226,1859.954426025446
S15-2000,15,00001234,8,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1004,1752.0316761742886,1875.6748880012851,4608,913.6452562122623,1812.3637187438053,4523,960.2360783814194,1939.1460554690952
S16-2000,16,00001711,8,2000,40403,OK,OK,VALID,AMBIGUOUS,OK,REGISTRATION_AMBIGUOUS,0.5286195286195287,,,157,334,260,,,,1502,1036.2336838038468,1415.5148723303596,2709,524.3447722690715,1028.2192866458265,2553,597.9390425386904,1409.1604814659242
S17-2000,17,00001036,9,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1756,1070.2442241247431,1719.815090495965,3177,718.710637188898,1442.6318836631135,3152,691.137131079244,1968.6809837408935
S18-2000,18,00001580,9,2000,40403,OK,OK,VALID,INVALID,OK,REGISTRATION_INVALID,0.291358024691358,,,59,214,191,,,,1050,732.9106184090394,1054.1935820694723,2751,708.1884970726408,1268.6662494656243,3888,749.3157290391066,1863.1156296137628
S19-2000,19,00001085,10,2000,40403,OK,OK,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,376,638.2671725273512,677.5189831449135,2282,552.7213046935533,1201.379533273001,3173,637.772535701594,1087.412845042813
S20-2000,20,00001027,10,2000,40403,OK,OK,AMBIGUOUS,INVALID,REGISTRATION_AMBIGUOUS,REGISTRATION_INVALID,,,,,,,,,,1012,861.7202900216706,1336.4781950677086,3853,916.5133197715686,1324.0326881093756,3879,760.0066067086307,1004.6120472641609
